Image ID,LST_Day_1km
2_2008_10_10,33.51
2_2008_10_11,
2_2008_10_12,31.39
2_2008_10_13,
2_2008_10_14,
2_2008_10_15,
2_2008_10_16,
2_2008_10_17,
2_2008_10_18,
2_2008_10_19,33.07
2_2008_10_20,32.43
2_2008_10_21,31.37
2_2008_10_22,33.21
2_2008_10_23,31.91
2_2008_10_24,30.77
2_2008_10_25,
2_2008_10_26,
2_2008_10_27,
2_2008_10_28,31.41
2_2008_10_29,31.15
2_2008_10_30,30.27
2_2008_10_31,31.37
2_2008_11_01,
2_2008_11_02,32.25
2_2008_11_03,
2_2008_11_04,30.63
2_2008_11_05,
2_2008_11_06,
2_2008_11_07,31.89
2_2008_11_08,29.99
2_2008_11_09,33.67
2_2008_11_10,
2_2008_11_11,32.83
2_2008_11_12,
2_2008_11_13,
2_2008_11_14,
2_2008_11_15,
2_2008_11_16,
2_2008_11_17,29.93
2_2008_11_18,31.87
2_2008_11_19,
2_2008_11_20,31.41
2_2008_11_21,
2_2008_11_22,
2_2008_11_23,
2_2008_11_24,28.45
2_2008_11_25,30.27
2_2008_11_26,
2_2008_11_27,
2_2008_11_28,
2_2008_11_29,30.21
2_2008_11_30,
2_2008_12_01,26.43
2_2008_12_02,29.67
2_2008_12_03,
2_2008_12_04,
2_2008_12_05,
2_2008_12_06,
2_2008_12_07,
2_2008_12_08,
2_2008_12_09,31.25
2_2008_12_10,
2_2008_12_11,
2_2008_12_12,
2_2008_12_13,33.05
2_2008_12_14,
2_2008_12_15,30.43
2_2008_12_16,29.89
2_2008_12_17,
2_2008_12_18,30.33
2_2008_12_19,
2_2008_12_20,
2_2008_12_21,
2_2008_12_22,
2_2008_12_23,
2_2008_12_24,28.03
2_2008_12_25,27.63
2_2008_12_26,
2_2008_12_27,28.41
2_2008_12_28,
2_2008_12_29,29.69
2_2008_12_30,29.17
2_2008_12_31,29.33
2_2009_01_01,29.31
2_2009_01_02,
2_2009_01_03,27.97
2_2009_01_04,
2_2009_01_05,28.03
2_2009_01_06,
2_2009_01_07,
2_2009_01_08,
2_2009_01_09,
2_2009_01_10,
2_2009_01_11,
2_2009_01_12,30.91
2_2009_01_13,
2_2009_01_14,31.85
2_2009_01_15,
2_2009_01_16,30.55
2_2009_01_17,
2_2009_01_18,31.05
2_2009_01_19,34.43
2_2009_01_20,30.25
2_2009_01_21,34.89
2_2009_01_22,
2_2009_01_23,33.29
2_2009_01_24,34.51
2_2009_01_25,35.29
2_2009_01_26,37.31
2_2009_01_27,35.33
2_2009_01_28,35.45
2_2009_01_29,
2_2009_01_30,35.79
2_2009_01_31,32.41
2_2009_02_01,35.33
2_2009_02_02,33.53
2_2009_02_03,33.35
2_2009_02_04,36.21
2_2009_02_05,33.59
2_2009_02_06,37.27
2_2009_02_07,34.29
2_2009_02_08,37.41
2_2009_02_09,35.99
2_2009_02_10,37.35
2_2009_02_11,36.17
2_2009_02_12,34.33
2_2009_02_13,38.77
2_2009_02_14,
2_2009_02_15,38.89
2_2009_02_16,34.71
2_2009_02_17,39.45
2_2009_02_18,39.25
2_2009_02_19,39.75
2_2009_02_20,41.77
2_2009_02_21,37.85
2_2009_02_22,40.49
2_2009_02_23,36.63
2_2009_02_24,42.37
2_2009_02_25,37.41
2_2009_02_26,40.03
2_2009_02_27,38.55
2_2009_02_28,36.67
2_2009_03_01,42.43
2_2009_03_02,
2_2009_03_03,42.53
2_2009_03_04,35.53
2_2009_03_05,45.01
2_2009_03_06,39.99
2_2009_03_07,42.49
2_2009_03_08,44.37
2_2009_03_09,
2_2009_03_10,
2_2009_03_11,
2_2009_03_12,45.85
2_2009_03_13,40.19
2_2009_03_14,42.71
2_2009_03_15,41.19
2_2009_03_16,
2_2009_03_17,44.01
2_2009_03_18,
2_2009_03_19,44.91
2_2009_03_20,
2_2009_03_21,
2_2009_03_22,
2_2009_03_23,41.29
2_2009_03_24,45.87
2_2009_03_25,
2_2009_03_26,36.73
2_2009_03_27,40.59
2_2009_03_28,46.77
2_2009_03_29,
2_2009_03_30,
2_2009_03_31,46.37
2_2009_04_01,44.87
2_2009_04_02,49.23
2_2009_04_03,
2_2009_04_04,43.99
2_2009_04_05,43.21
2_2009_04_06,48.01
2_2009_04_07,49.23
2_2009_04_08,
2_2009_04_09,
2_2009_04_10,42.97
2_2009_04_11,52.91
2_2009_04_12,45.49
2_2009_04_13,51.77
2_2009_04_14,46.73
2_2009_04_15,50.75
2_2009_04_16,47.91
2_2009_04_17,43.31
2_2009_04_18,50.65
2_2009_04_19,
2_2009_04_20,46.29
2_2009_04_21,44.13
2_2009_04_22,47.11
2_2009_04_23,48.53
2_2009_04_24,47.75
2_2009_04_25,50.59
2_2009_04_26,40.77
2_2009_04_27,55.13
2_2009_04_28,
2_2009_04_29,49.03
2_2009_04_30,46.91
2_2009_05_01,49.01
2_2009_05_02,44.57
2_2009_05_03,
2_2009_05_04,
2_2009_05_05,
2_2009_05_06,46.17
2_2009_05_07,45.01
2_2009_05_08,48.49
2_2009_05_09,38.27
2_2009_05_10,37.39
2_2009_05_11,
2_2009_05_12,
2_2009_05_13,44.39
2_2009_05_14,
2_2009_05_15,46.69
2_2009_05_16,
2_2009_05_17,
2_2009_05_18,
2_2009_05_19,
2_2009_05_20,43.45
2_2009_05_21,
2_2009_05_22,44.47
2_2009_05_23,
2_2009_05_24,
2_2009_05_25,
2_2009_05_26,
2_2009_05_27,35.09
2_2009_05_28,
2_2009_05_29,
2_2009_05_30,
2_2009_05_31,
2_2009_06_01,
2_2009_06_02,
2_2009_06_03,
2_2009_06_04,
2_2009_06_05,39.43
2_2009_06_06,
2_2009_06_07,
2_2009_06_08,38.11
2_2009_06_09,42.29
2_2009_06_10,
2_2009_06_11,
2_2009_06_12,
2_2009_06_13,
2_2009_06_14,
2_2009_06_15,
2_2009_06_16,
2_2009_06_17,
2_2009_06_18,46.95
2_2009_06_19,
2_2009_06_20,
2_2009_06_21,47.55
2_2009_06_22,
2_2009_06_23,44.99
2_2009_06_24,
2_2009_06_25,37.93
2_2009_06_26,
2_2009_06_27,
2_2009_06_28,
2_2009_06_29,
2_2009_06_30,
2_2009_07_01,
2_2009_07_02,
2_2009_07_03,
2_2009_07_04,
2_2009_07_05,
2_2009_07_06,
2_2009_07_07,
2_2009_07_08,
2_2009_07_09,
2_2009_07_10,
2_2009_07_11,
2_2009_07_12,
2_2009_07_13,
2_2009_07_14,
2_2009_07_15,
2_2009_07_16,
2_2009_07_17,
2_2009_07_18,
2_2009_07_19,
2_2009_07_20,
2_2009_07_21,
2_2009_07_22,
2_2009_07_23,
2_2009_07_24,
2_2009_07_25,
2_2009_07_26,
2_2009_07_27,
2_2009_07_28,
2_2009_07_29,
2_2009_07_30,
2_2009_07_31,
2_2009_08_01,35.45
2_2009_08_02,
2_2009_08_03,
2_2009_08_04,
2_2009_08_05,
2_2009_08_06,
2_2009_08_07,
2_2009_08_08,
2_2009_08_09,
2_2009_08_10,
2_2009_08_11,
2_2009_08_12,
2_2009_08_13,
2_2009_08_14,
2_2009_08_15,
2_2009_08_16,
2_2009_08_17,
2_2009_08_18,
2_2009_08_19,
2_2009_08_20,
2_2009_08_21,
2_2009_08_22,
2_2009_08_23,
2_2009_08_24,
2_2009_08_25,
2_2009_08_26,
2_2009_08_27,
2_2009_08_28,
2_2009_08_29,
2_2009_08_30,22.49
2_2009_08_31,
2_2009_09_01,
2_2009_09_02,
2_2009_09_03,
2_2009_09_04,
2_2009_09_05,
2_2009_09_06,
2_2009_09_07,
2_2009_09_08,
2_2009_09_09,
2_2009_09_10,
2_2009_09_11,
2_2009_09_12,
2_2009_09_13,32.93
2_2009_09_14,
2_2009_09_15,
2_2009_09_16,
2_2009_09_17,
2_2009_09_18,
2_2009_09_19,
2_2009_09_20,
2_2009_09_21,27.95
2_2009_09_22,27.61
2_2009_09_23,
2_2009_09_24,
2_2009_09_25,
2_2009_09_26,
2_2009_09_27,
2_2009_09_28,
2_2009_09_29,
2_2009_09_30,
2_2009_10_01,
2_2009_10_02,
2_2009_10_03,
2_2009_10_04,
2_2009_10_05,
2_2009_10_06,
2_2009_10_07,
2_2009_10_08,29.49
2_2009_10_09,
2_2009_10_10,28.71
2_2009_10_11,31.85
2_2009_10_12,
2_2009_10_13,31.59
2_2009_10_14,
2_2009_10_15,30.95
2_2009_10_16,
2_2009_10_17,30.77
2_2009_10_18,32.93
2_2009_10_19,30.55
2_2009_10_20,32.75
2_2009_10_21,
2_2009_10_22,31.59
2_2009_10_23,30.61
2_2009_10_24,31.13
2_2009_10_25,30.69
2_2009_10_26,29.79
2_2009_10_27,32.11
2_2009_10_28,
2_2009_10_29,32.09
2_2009_10_30,
2_2009_10_31,31.61
2_2009_11_01,
2_2009_11_02,30.65
2_2009_11_03,32.93
2_2009_11_04,29.57
2_2009_11_05,33.13
2_2009_11_06,
2_2009_11_07,28.45
2_2009_11_08,
2_2009_11_09,
2_2009_11_10,
2_2009_11_11,31.17
2_2009_11_12,33.13
2_2009_11_13,
2_2009_11_14,33.11
2_2009_11_15,
2_2009_11_16,
2_2009_11_17,
2_2009_11_18,23.33
2_2009_11_19,28.17
2_2009_11_20,26.71
2_2009_11_21,28.71
2_2009_11_22,
2_2009_11_23,27.69
2_2009_11_24,28.87
2_2009_11_25,28.81
2_2009_11_26,29.65
2_2009_11_27,28.85
2_2009_11_28,25.95
2_2009_11_29,
2_2009_11_30,29.97
2_2009_12_01,
2_2009_12_02,30.75
2_2009_12_03,30.97
2_2009_12_04,
2_2009_12_05,29.03
2_2009_12_06,
2_2009_12_07,30.15
2_2009_12_08,
2_2009_12_09,30.07
2_2009_12_10,
2_2009_12_11,
2_2009_12_12,29.29
2_2009_12_13,30.11
2_2009_12_14,32.21
