Image ID,LST_Day_1km
2_2013_08_13,
2_2013_08_21,
2_2013_08_29,28.27
2_2013_09_06,31.83
2_2013_09_14,29.99
2_2013_09_22,34.17
2_2013_09_30,
2_2013_10_08,29.19
2_2013_10_16,28.75
2_2013_10_24,27.51
2_2013_11_01,28.21
2_2013_11_09,26.69
2_2013_11_17,25.37
2_2013_11_25,26.39
2_2013_12_03,25.33
2_2013_12_11,23.59
2_2013_12_19,22.13
2_2013_12_27,25.29
2_2014_01_01,22.97
2_2014_01_09,21.73
2_2014_01_17,24.59
2_2014_01_25,23.73
2_2014_02_02,27.49
2_2014_02_10,25.55
2_2014_02_18,27.35
2_2014_02_26,28.65
2_2014_03_06,26.67
2_2014_03_14,35.19
2_2014_03_22,37.07
2_2014_03_30,38.89
2_2014_04_07,40.29
2_2014_04_15,43.09
2_2014_04_23,44.97
2_2014_05_01,40.99
2_2014_05_09,43.67
2_2014_05_17,43.43
2_2014_05_25,32.59
2_2014_06_02,33.83
2_2014_06_10,37.23
2_2014_06_18,
2_2014_06_26,
2_2014_07_04,
2_2014_07_12,
2_2014_07_20,
2_2014_07_28,34.05
2_2014_08_05,
2_2014_08_13,
2_2014_08_21,
2_2014_08_29,
2_2014_09_06,28.65
2_2014_09_14,27.79
2_2014_09_22,29.63
2_2014_09_30,30.47
2_2014_10_08,31.35
2_2014_10_16,29.61
2_2014_10_24,29.47
2_2014_11_01,28.97
2_2014_11_09,29.69
2_2014_11_17,27.47
2_2014_11_25,27.43
2_2014_12_03,26.07
2_2014_12_11,25.65
2_2014_12_19,23.39
2_2014_12_27,25.51
2_2015_01_01,22.37
2_2015_01_09,24.95
2_2015_01_17,25.83
2_2015_01_25,24.39
2_2015_02_02,26.93
2_2015_02_10,28.03
2_2015_02_18,31.97
2_2015_02_26,31.73
2_2015_03_06,35.37
2_2015_03_14,36.81
2_2015_03_22,38.89
2_2015_03_30,37.53
2_2015_04_07,37.59
2_2015_04_15,36.11
2_2015_04_23,34.23
2_2015_05_01,39.09
2_2015_05_09,42.19
2_2015_05_17,41.91
2_2015_05_25,40.45
2_2015_06_02,42.35
2_2015_06_10,35.55
2_2015_06_18,39.57
2_2015_06_26,
2_2015_07_04,33.39
2_2015_07_12,
2_2015_07_20,
2_2015_07_28,
2_2015_08_05,
2_2015_08_13,
2_2015_08_21,28.79
2_2015_08_29,27.23
2_2015_09_06,31.29
2_2015_09_14,
2_2015_09_22,28.91
2_2015_09_30,32.03
2_2015_10_08,32.89
2_2015_10_16,31.77
2_2015_10_24,32.19
2_2015_11_01,31.87
2_2015_11_09,29.69
2_2015_11_17,30.91
2_2015_11_25,30.47
2_2015_12_03,29.37
2_2015_12_11,27.93
2_2015_12_19,25.61
2_2015_12_27,23.29
2_2016_01_01,27.61
2_2016_01_09,26.97
2_2016_01_17,22.73
2_2016_01_25,26.79
2_2016_02_02,28.19
2_2016_02_10,30.41
2_2016_02_18,34.83
2_2016_02_26,33.55
2_2016_03_05,38.29
2_2016_03_13,36.29
2_2016_03_21,38.91
2_2016_03_29,38.57
2_2016_04_06,44.77
2_2016_04_14,42.73
2_2016_04_22,44.79
2_2016_04_30,38.13
2_2016_05_08,37.71
2_2016_05_16,36.15
2_2016_05_24,38.39
2_2016_06_01,38.19
2_2016_06_09,30.15
2_2016_06_17,
2_2016_06_25,33.97
2_2016_07_03,
2_2016_07_11,
2_2016_07_19,
2_2016_07_27,
2_2016_08_04,
2_2016_08_12,
2_2016_08_20,30.73
2_2016_08_28,33.51
2_2016_09_05,
2_2016_09_13,
2_2016_09_21,
2_2016_09_29,30.41
2_2016_10_07,28.87
2_2016_10_15,29.13
2_2016_10_23,28.95
2_2016_10_31,30.17
2_2016_11_08,28.29
2_2016_11_16,26.83
2_2016_11_24,26.35
2_2016_12_02,26.15
2_2016_12_10,25.25
2_2016_12_18,25.11
2_2016_12_26,24.87
2_2017_01_01,25.67
2_2017_01_09,21.15
2_2017_01_17,25.71
2_2017_01_25,27.21
2_2017_02_02,29.25
2_2017_02_10,29.63
2_2017_02_18,31.13
2_2017_02_26,33.21
2_2017_03_06,33.93
2_2017_03_14,36.37
2_2017_03_22,37.87
2_2017_03_30,41.13
2_2017_04_07,35.79
2_2017_04_15,34.75
2_2017_04_23,40.41
2_2017_05_01,39.27
2_2017_05_09,39.41
2_2017_05_17,38.15
2_2017_05_25,40.09
2_2017_06_02,35.89
2_2017_06_10,43.37
2_2017_06_18,
2_2017_06_26,
2_2017_07_04,
2_2017_07_12,32.51
2_2017_07_20,
2_2017_07_28,
2_2017_08_05,
2_2017_08_13,
2_2017_08_21,
2_2017_08_29,
2_2017_09_06,32.43
2_2017_09_14,
2_2017_09_22,31.35
2_2017_09_30,
2_2017_10_08,31.39
