lon,lat,1999_0,2000_0,2001_0,2002_0,2003_0,2004_0,2005_0,2006_0,2007_0,2008_0,2009_0,2010_0,2011_0,2012_0,2013_0,2014_0,2015_0,2016_0,2017_0
83.988,24.241,0.530557632,0.417762071,0.387404084,0.428437173,0.538272858,0.275587052,0.494540185,0.361187488,0.410271823,0.353164405,0.233391404,0.357940257,0.387455285,0.246931821,0.448163718,0.19323808,0.324187666,0.34298718,0.364168316
83.988,24.25,0.31316787,0.410438031,0.39997068,0.436716825,0.410660058,0.249926895,0.452460289,0.313245416,0.347595662,0.316513777,0.230358377,0.408371121,0.349781632,0.239611506,0.428223014,0.184351608,0.312046975,0.359699398,0.352573872
83.988,24.259,0.604556441,0.406987101,0.397123218,0.429476202,0.485398501,0.250196755,0.38734588,0.330468327,0.391339421,0.349223465,0.175877124,0.351639122,0.350552231,0.231840834,0.394985408,0.164069474,0.285545886,0.323578924,0.382644802
83.988,24.268,0.495948762,0.308893144,0.288471729,0.321218431,0.413765162,0.218601584,0.307320923,0.271235824,0.295943916,0.265426159,0.189717412,0.296664327,0.300615758,0.214387804,0.327464312,0.128742576,0.225791141,0.234941527,0.305992275
83.988,24.277,0.504278302,0.291071355,0.280483663,0.328044713,0.387134582,0.19772616,0.30584991,0.253041476,0.309564412,0.249643758,0.195610061,0.332872212,0.338125587,0.220124349,0.357701331,0.12985073,0.254532695,0.247419193,0.318607956
83.988,24.286,0.416275293,0.253712058,0.27404055,0.261251986,0.339522898,0.181224927,0.285749614,0.258103997,0.267435223,0.256903172,0.171192348,0.302363157,0.294926375,0.204123035,0.320299655,0.136093289,0.206916884,0.201539963,0.276147753
83.988,24.295,0.387393117,0.242258862,0.280956089,0.276787162,0.332864821,0.214078203,0.374785691,0.258800238,0.306762278,0.259697378,0.197538719,0.35984689,0.292953968,0.202374697,0.335581273,0.149199918,0.201151341,0.254076391,0.305088669
83.988,24.304,0.379971951,0.228026301,0.236309692,0.254697204,0.309262455,0.180166766,0.27703622,0.23770842,0.263749093,0.230589375,0.186187953,0.296269059,0.296800524,0.199956313,0.323512524,0.148154199,0.174887255,0.226836145,0.22964099
83.988,24.313,0.42372328,0.201874658,0.274122089,0.313792408,0.287689775,0.185864136,0.307381868,0.215322673,0.268374503,0.247677132,0.205737799,0.313410461,0.236062199,0.20543988,0.294731975,0.131052747,0.158473045,0.253996253,0.283834726
83.988,24.322,0.422354519,0.249223515,0.269772589,0.260246992,0.340975016,0.194896728,0.270416349,0.23908487,0.287714034,0.210249439,0.217897236,0.353410691,0.273788303,0.205095813,0.325238675,0.122842751,0.186042652,0.23595266,0.23615098
83.988,24.331,0.43403694,0.22012727,0.260056764,0.269465685,0.300066918,0.202504888,0.250291169,0.209170088,0.28044492,0.22203064,0.215616152,0.392493337,0.275319576,0.199901,0.370512456,0.128151119,0.170858428,0.186385602,0.217079133
83.988,24.34,0.453127891,0.234131277,0.250776201,0.272967577,0.275759995,0.185196534,0.261869073,0.215153158,0.272817582,0.228808612,0.207777083,0.32962361,0.230393693,0.19654423,0.347219795,0.132817164,0.167315409,0.202070221,0.239115134
83.988,24.349,0.320023268,0.246056005,0.226395875,0.289823711,0.313174069,0.204156592,0.270730257,0.247404754,0.276191562,0.223848939,0.219818518,0.28271085,0.238834426,0.202618778,0.306529611,0.136235818,0.18374683,0.266880304,0.218958825
83.988,24.358,0.495647103,0.281304032,0.28555572,0.295775592,0.391457796,0.214171082,0.307689101,0.260320187,0.321195215,0.25673157,0.23475191,0.289040715,0.316526115,0.223929211,0.36839366,0.17230466,0.244645998,0.283521324,0.29464674
83.988,24.367,0.508340776,0.380592823,0.415167481,0.406155676,0.485667527,0.257171124,0.362064183,0.325482994,0.369592994,0.253647476,0.268709719,0.35684526,0.373415232,0.234715536,0.399615347,0.235762969,0.3610636,0.360192567,0.323662281
83.988,24.376,0.601153374,0.408349365,0.386725575,0.407579452,0.447092205,0.280208826,0.402790457,0.327448964,0.383527458,0.303961188,0.290978342,0.420889169,0.347475022,0.245925054,0.412695616,0.257949322,0.356592059,0.355814129,0.338353842
83.988,24.385,0.554068327,0.354857713,0.336337686,0.399148583,0.405244559,0.259798259,0.386796355,0.33200711,0.371954679,0.291540593,0.288882315,0.362651736,0.337801218,0.236677721,0.391112983,0.216290012,0.394403934,0.296920031,0.293378055
83.988,24.394,0.615288079,0.383453935,0.365085125,0.41242975,0.464343309,0.268955052,0.431672871,0.302025497,0.430797487,0.281920642,0.310549378,0.366860598,0.347121149,0.231882557,0.475943029,0.246357754,0.37004748,0.259784967,0.313125342
83.988,24.403,0.573432088,0.419508964,0.378945082,0.411976218,0.484338611,0.263842434,0.481340528,0.327501804,0.406507522,0.29620859,0.331277966,0.330694139,0.378939569,0.230485931,0.378239542,0.404441088,0.469820887,0.283222526,0.359046131
83.988,24.412,0.599244714,0.417677969,0.439635992,0.415471196,0.476146191,0.294604182,0.489342779,0.351056725,0.402815789,0.339616895,0.316766351,0.365321636,0.390177518,0.260270029,0.518123031,0.439340353,0.489965618,0.265069127,0.347977817
83.988,24.421,0.629868925,0.401448667,0.449575543,0.429476202,0.490140408,0.271757036,0.422675669,0.35689491,0.426345468,0.336756796,0.293232739,0.45306924,0.353386462,0.251565814,0.418375731,0.416755855,0.487664461,0.244678915,0.308719277
83.988,24.43,0.51573801,0.297133863,0.375314593,0.397711724,0.407196254,0.234935522,0.393403471,0.325173438,0.31543389,0.278610528,0.255763829,0.315627038,0.277440101,0.260040432,0.450423717,0.390562534,0.286592692,0.200827017,0.273051709
83.988,24.439,0.483615875,0.309300274,0.282439977,0.377820402,0.291218519,0.271810442,0.274598956,0.416903824,0.257587522,0.29144147,0.213792667,0.42938,0.222913027,0.240194961,0.282259434,0.447480619,0.257974148,0.23635146,0.251172096
83.988,24.448,0.386968195,0.342979401,0.267156899,0.393483698,0.364853531,0.253844947,0.270742029,0.385468096,0.302352667,0.298032671,0.256863803,0.369754374,0.265263557,0.316040337,0.309928089,0.392030776,0.278174758,0.212365538,0.254027307
83.988,24.457,0.487730384,0.294157714,0.372120559,0.364333719,0.432234526,0.237424329,0.321994275,0.367324293,0.38022694,0.250262201,0.297044367,0.334848821,0.356605768,0.21616298,0.391616464,0.316170871,0.30224964,0.216303512,0.291585475
83.988,24.466,0.356605142,0.289817691,0.308885753,0.364707351,0.339367151,0.246169776,0.356711656,0.325007647,0.318660438,0.264518976,0.308775038,0.290408283,0.322118908,0.348514736,0.373406887,0.30055818,0.271498144,0.238499895,0.281012386
83.988,24.475,0.455050915,0.260240763,0.237906203,0.281834632,0.297990888,0.221163541,0.318844408,0.261101395,0.295057386,0.205762073,0.289749175,0.289710224,0.316070616,0.402862817,0.305521399,0.274864405,0.252011091,0.219326168,0.254824013
83.988,24.484,0.450660437,0.252761781,0.247384533,0.262414873,0.27016139,0.188758746,0.29648596,0.232317686,0.278308481,0.199051827,0.235802799,0.246461496,0.313408315,0.429232329,0.282184631,0.229256764,0.247785985,0.185570762,0.245176747
83.988,24.493,0.45233947,0.237364382,0.247384533,0.269003779,0.338291734,0.2174858,0.325819105,0.281528085,0.321572483,0.199070573,0.27108866,0.29703334,0.335499376,0.430787474,0.32014972,0.287831217,0.258750498,0.22783801,0.255412519
83.988,24.502,0.432856351,0.243771017,0.222973451,0.255706102,0.287506998,0.198228583,0.306396484,0.271211386,0.276043117,0.209370732,0.276486307,0.297969073,0.328545243,0.401040971,0.322349906,0.316063285,0.23862569,0.258992106,0.269581527
83.988,24.511,0.463624597,0.256266683,0.238745347,0.254697204,0.309285045,0.219993874,0.278527468,0.282004207,0.313627392,0.224051654,0.255930901,0.300694615,0.285135627,0.360614985,0.288017631,0.268243968,0.221297145,0.271525353,0.317073762
83.988,24.52,0.438226908,0.215519696,0.230940253,0.210947812,0.263911456,0.183323324,0.252053022,0.239526391,0.288419574,0.189109489,0.223229051,0.225169316,0.287561208,0.32134214,0.273888946,0.243507907,0.187286526,0.218759894,0.377992302
83.988,24.528,0.446198612,0.256266683,0.308058202,0.26131472,0.253165722,0.201295942,0.284489363,0.199186355,0.23968403,0.261072725,0.199543789,0.264999866,0.273834467,0.331952542,0.277707428,0.229691133,0.204708755,0.219591126,0.412948489
83.988,24.537,0.390062034,0.26236096,0.316826582,0.291077584,0.264403552,0.194614232,0.287583381,0.201437861,0.22080496,0.307621211,0.205529913,0.285491079,0.290707231,0.287795037,0.307651311,0.20891346,0.227926627,0.215378642,0.265477419
83.988,24.546,0.30773288,0.254440904,0.274122089,0.288082629,0.283949345,0.199958012,0.227524593,0.243365213,0.279622197,0.275177062,0.245401919,0.276481479,0.268817872,0.242076308,0.288130671,0.164190233,0.229596511,0.203441799,0.25904876
83.988,24.555,0.30621326,0.252711296,0.28613463,0.291248739,0.268571377,0.186582848,0.197665066,0.200996965,0.235542089,0.25174436,0.218032122,0.22489439,0.233380958,0.226539835,0.263858914,0.113890313,0.182135552,0.176745802,0.250035077
83.988,24.564,0.382527202,0.215159953,0.276942164,0.279165149,0.357979387,0.169112012,0.267411649,0.25894171,0.26616174,0.293883145,0.274824828,0.300054133,0.235221252,0.248471364,0.297306031,0.109927118,0.210745111,0.167022035,0.2799097
83.988,24.573,0.516269028,0.273110628,0.26372245,0.24030906,0.29180339,0.206776053,0.305003315,0.241157249,0.251323283,0.367952168,0.226923749,0.261747658,0.235543832,0.236265481,0.275997967,0.111589029,0.241578564,0.15814738,0.255769551
83.988,24.582,0.144212931,0.113902546,0.075669415,0.075680904,0.046897668,0.092980348,0.171186611,0.101476215,0.181870192,0.069253929,0.091725171,0.148265049,0.142482147,0.133338138,0.103547469,0.055801142,0.169941828,0.027711552,0.053905424
83.988,24.591,0.028787047,0.053670421,-0.063773073,-0.014004021,-0.114385672,0.035571769,0.048971362,-0.004463267,0.106565572,-0.007086517,-0.017728193,0.077171952,0.063359119,0.048293184,0.044928171,0.042483497,0.066873647,-8.71E-04,-0.010546544
83.988,24.6,-0.047167663,-0.046613432,-0.069276139,-0.002815573,0.010082716,0.015302105,0.014055549,-0.024317557,0.041076746,0.005957657,-0.023580736,0.047293372,-0.043143786,0.02848628,-0.008302472,0.033945031,-0.003290812,0.008051257,0.009418479
83.988,24.609,-0.049861871,-0.076289997,-0.103050858,-0.089618318,-0.066066876,0.018090891,0.050494481,-0.002533359,0.058234811,-0.007163093,-0.003094944,0.079117201,0.047680754,0.040356327,0.05547398,0.049844082,0.057909466,0.016844222,0.049349975
83.997,23.361,0.197904944,0.332921147,0.268990517,0.315208972,0.319909215,0.282767624,0.347308904,0.287440747,0.253094256,0.25414598,0.268655807,0.357272923,0.270656049,0.335341811,0.302005172,0.135663673,0.28866452,0.276365221,0.281027943
83.997,23.37,0.406666607,0.312545121,0.291064203,0.312023968,0.336485267,0.315671504,0.357247263,0.342456609,0.336010903,0.282727599,0.306110889,0.389409482,0.342819273,0.378219664,0.380049825,0.137971178,0.270039976,0.284392715,0.300349474
83.997,23.379,0.506641924,0.407721996,0.396706611,0.339335889,0.349313736,0.372537494,0.452991277,0.409698784,0.384276897,0.368981779,0.387043536,0.441664249,0.418112695,0.477654994,0.433986843,0.174282879,0.353078723,0.349230528,0.502300501
83.997,23.388,0.491646647,0.372412145,0.311427057,0.369382054,0.40288344,0.283468843,0.403575808,0.336137384,0.278900683,0.310751379,0.312644869,0.417104781,0.32498917,0.394855738,0.352002114,0.134576559,0.301855177,0.34315446,0.34650144
83.997,23.397,0.503462076,0.336422235,0.325555146,0.355632722,0.391245842,0.356047511,0.406085432,0.381802708,0.385255426,0.294418663,0.345412165,0.423225462,0.392929137,0.442668498,0.440653741,0.143309981,0.403487742,0.279664516,0.442096412
83.997,23.406,0.530557632,0.339771807,0.432665884,0.335001856,0.383341104,0.424226344,0.432179093,0.406555951,0.475058049,0.356591672,0.40950349,0.420372695,0.410144001,0.45225203,0.490748197,0.175920308,0.357530236,0.527095914,0.609026849
83.997,23.415,0.430342525,0.295639277,0.355619162,0.321404427,0.342953861,0.338152468,0.360714853,0.321742088,0.340063721,0.291909277,0.348304808,0.36940968,0.294806451,0.381200433,0.375523001,0.19750765,0.283824891,0.421038717,0.498396009
83.997,23.424,0.495647073,0.395805836,0.301240057,0.432033718,0.312166899,0.334035903,0.425076365,0.402517378,0.344044179,0.29241547,0.313327342,0.425685495,0.35758701,0.441572845,0.387425303,0.191138893,0.298063099,0.376815349,0.412938178
83.997,23.433,0.491741121,0.415712744,0.332908183,0.395062685,0.445399284,0.318212599,0.451058507,0.338645309,0.296073437,0.373164386,0.325870782,0.4847534,0.373203963,0.449915588,0.356148869,0.138522387,0.266318291,0.309770346,0.376884997
83.997,23.442,0.491741121,0.405186683,0.294334143,0.437937796,0.492775977,0.304172516,0.44667384,0.378944516,0.295660645,0.363800794,0.317460358,0.482216805,0.368672609,0.450949401,0.356426328,0.121363297,0.267626196,0.316139877,0.357327402
83.997,23.451,0.501536131,0.415712744,0.328739405,0.445897073,0.44259578,0.318783581,0.460140705,0.39742741,0.305777818,0.366320461,0.319212884,0.488966495,0.39137283,0.447428346,0.359876931,0.105387621,0.300924271,0.317582071,0.414593905
83.997,23.46,0.554598987,0.439441919,0.390024841,0.445204496,0.429377705,0.369838178,0.480366647,0.42481637,0.399017245,0.426055729,0.342842251,0.516655743,0.445839107,0.506213844,0.424117833,0.104156449,0.362707078,0.392094851,0.418237656
83.997,23.468,0.564403713,0.430321813,0.350363791,0.435240388,0.50516504,0.404416084,0.512867749,0.433465481,0.429927021,0.407363325,0.384869456,0.52925849,0.44917351,0.499543816,0.458975434,0.119361848,0.357945144,0.471128792,0.418479741
83.997,23.477,0.574743569,0.41783613,0.357483089,0.390061498,0.425120324,0.312440544,0.429591298,0.398876041,0.326949477,0.333737612,0.36327672,0.391730726,0.36711356,0.437612265,0.377978623,0.097936906,0.2842049,0.353780478,0.345906049
83.997,23.639,0.541899025,0.544627845,0.505638063,0.532274783,0.293432653,0.411255211,0.576365948,0.467590362,0.504358411,0.520670891,0.376469344,0.595259249,0.551076949,0.532586873,0.525882959,0.421670198,0.418980956,0.438701987,0.550650299
83.997,23.648,0.416423887,0.520713151,0.524793148,0.473475546,0.446468681,0.418197691,0.576092005,0.413507253,0.517945588,0.494039178,0.34154886,0.576802671,0.522321343,0.427839845,0.535965264,0.421661556,0.394972324,0.418646961,0.542906225
83.997,23.657,0.339321703,0.54489243,0.510797679,0.527177393,0.542058527,0.396733165,0.581944346,0.489675581,0.533415258,0.465179443,0.166407749,0.567014277,0.566959441,0.429767221,0.561359107,0.390153676,0.39394623,0.429696113,0.524925828
83.997,23.666,0.604194701,0.54151696,0.472231448,0.522632062,0.570340514,0.380503088,0.574503303,0.476561069,0.515854597,0.497271985,0.157862633,0.582288742,0.5587973,0.319562048,0.543736339,0.367632955,0.411454231,0.425569952,0.522793114
83.997,23.675,0.626299202,0.56258148,0.505135357,0.532582879,0.587898374,0.405105829,0.583277285,0.491910607,0.548731327,0.501156271,0.138046563,0.586574674,0.569186449,0.328197926,0.565768659,0.37433663,0.402526736,0.444018453,0.566536427
83.997,23.684,0.611062765,0.55597204,0.523667872,0.485888302,0.583452046,0.40551737,0.578790426,0.463482112,0.539764524,0.513717592,0.152172938,0.587771654,0.567080438,0.202722311,0.541588664,0.363244653,0.349607885,0.433107704,0.547471404
83.997,23.693,0.595528424,0.450786054,0.472231448,0.430288523,0.443013012,0.278759867,0.456973076,0.378597766,0.338153064,0.429663181,0.143351614,0.499179631,0.413942963,0.123516113,0.397922367,0.199515626,0.274925768,0.287212402,0.368009984
83.997,23.702,0.556953371,0.406149715,0.368357182,0.337221771,0.413510203,0.27422899,0.416956782,0.364176542,0.366580099,0.388221323,0.123435266,0.468357682,0.266935527,0.141814634,0.416616768,0.198696867,0.289219379,0.29060176,0.337978452
83.997,23.711,0.501028061,0.354857683,0.491861701,0.358900726,0.219655946,0.255470514,0.346764982,0.380372882,0.373855859,0.295580536,0.120182499,0.351318657,0.344633669,0.156908229,0.33884117,0.194947556,0.28568688,0.301270276,0.369216263
83.997,23.72,0.633478284,0.497169435,0.459376365,0.474553287,0.514367938,0.379447907,0.54023391,0.443051726,0.383783817,0.42517373,0.147896484,0.491238117,0.518490493,0.178748965,0.440095067,0.149499819,0.317815274,0.351481438,0.460058302
83.997,23.729,0.563597918,0.419582844,0.355071098,0.375263304,0.496146023,0.333390594,0.481962621,0.362596214,0.390427202,0.316697806,0.128855512,0.420467705,0.465093791,0.175055236,0.451110423,0.158627629,0.284568667,0.36621803,0.360776871
83.997,23.738,0.460373729,0.325421244,0.30712688,0.316840619,0.374235451,0.301234335,0.365133286,0.287071496,0.366593301,0.228717268,0.110978439,0.303412378,0.346326619,0.163417175,0.400476187,0.203966945,0.286850125,0.26676482,0.247049272
83.997,23.747,0.411961794,0.316834331,0.42187047,0.355085939,0.309160411,0.254936099,0.347998023,0.282515466,0.328872532,0.418971062,0.160581782,0.488823265,0.300603151,0.168054432,0.361834913,0.285882562,0.289284557,0.226200581,0.447347581
83.997,23.756,0.626505017,0.516155362,0.486188322,0.48105377,0.58947432,0.36564678,0.552108526,0.452804744,0.455139548,0.458450198,0.149986625,0.533694029,0.509735763,0.21621117,0.50098896,0.290609062,0.364578694,0.423096865,0.518741965
83.997,23.765,0.56786257,0.47154355,0.417572677,0.429476231,0.520813525,0.364725024,0.533856034,0.397087693,0.442923844,0.366064966,0.114130422,0.453538418,0.474772245,0.213657677,0.481323451,0.276614755,0.322672665,0.376821846,0.422289997
83.997,23.774,0.499952286,0.412423998,0.28182143,0.366283029,0.438073784,0.287581801,0.423198283,0.319609016,0.332179248,0.270962566,0.127138346,0.370343596,0.331922114,0.189405531,0.358180255,0.200594857,0.215682298,0.326079965,0.379850268
83.997,23.783,0.499952286,0.383453935,0.338790923,0.357496977,0.474761695,0.314579785,0.44568643,0.290477216,0.288570046,0.314852148,0.114240848,0.408478141,0.297795534,0.173925504,0.347493857,0.187880516,0.243294954,0.341598541,0.396543086
83.997,23.792,0.56786257,0.430321813,0.448469132,0.409837216,0.517408311,0.348832965,0.487201214,0.395665169,0.400486648,0.372386724,0.115939021,0.438789099,0.40732953,0.210090742,0.434993744,0.245778322,0.325419992,0.332777679,0.461077005
83.997,23.801,0.595267713,0.369942725,0.419574171,0.456267744,0.418042272,0.330228269,0.430998296,0.404245138,0.3962951,0.382440716,0.112529948,0.493530601,0.377430826,0.184213206,0.441505969,0.298604399,0.350488037,0.292621553,0.445505887
83.997,23.81,0.471932709,0.303876847,0.308885723,0.345104307,0.348493934,0.279298425,0.298902452,0.294870168,0.352022648,0.243206352,0.11200127,0.379469633,0.331870556,0.19139035,0.393936515,0.194189698,0.294684529,0.2813932,0.370787144
83.997,23.819,0.511453331,0.464461237,0.378212154,0.375161201,0.528468013,0.322431862,0.491807014,0.306213796,0.406900048,0.35228309,0.102264814,0.444325566,0.447752208,0.228006735,0.439701736,0.350827903,0.304639816,0.31459704,0.335960805
83.997,23.828,0.611735761,0.515529156,0.427724034,0.466898382,0.576698422,0.330881119,0.545793474,0.405452907,0.438705474,0.431418717,0.137642846,0.500005722,0.435542971,0.223997086,0.473002076,0.412094295,0.330412626,0.312335402,0.363722771
